Kth,num_frames,num_keyframes,total_full_build_ms,total_probe_build_ms,total_search_ms,total_pipeline_ms,avg_recall
0,50,50,153.012,95.8218,225.819,474.653,0.212083
50,50,3,10.1001,95.7199,156.273,262.093,0.173535
100,50,1,3.39324,96.6931,143.522,243.609,0.138175
200,50,1,3.41517,94.7931,144.017,242.226,0.138175
400,50,1,3.52557,95.517,144.905,243.948,0.138175
800,50,1,3.32748,95.1582,155.119,253.605,0.138175
1600,50,1,3.40706,95.1775,152.466,251.051,0.138175
Kth,num_frames,num_keyframes,total_full_build_ms,total_probe_build_ms,total_search_ms,total_pipeline_ms,avg_recall
0,50,50,150.527,95.9869,224.946,471.46,0.212083
50,50,3,9.52511,95.6904,157.629,262.844,0.173535
100,50,1,3.30761,94.9853,142.955,241.248,0.138175
200,50,1,3.34197,95.5605,144.646,243.549,0.138175
400,50,1,3.3171,95.2507,142.889,241.457,0.138175
800,50,1,3.28895,94.8152,142.681,240.786,0.138175
1600,50,1,3.3325,94.6792,145.174,243.185,0.138175
Kth,num_frames,num_keyframes,total_full_build_ms,total_probe_build_ms,total_search_ms,total_pipeline_ms,avg_recall
0,50,50,152.015,95.9947,227.378,475.388,0.212083
5,50,37,113.018,96.6903,212.594,422.302,0.209051
10,50,24,72.6794,95.9231,195.377,363.979,0.203764
20,50,14,43.3246,94.7695,184.956,323.05,0.20255
40,50,6,19.0041,95.1625,179.828,293.994,0.194176
80,50,1,3.16863,94.7489,143.365,241.283,0.138175
160,50,1,3.14025,94.9178,142.948,241.007,0.138175
320,50,1,3.09419,108.354,189.649,301.097,0.138175
640,50,1,3.25567,100.486,152.537,256.278,0.138175
1280,50,1,3.12442,95.9555,142.821,241.901,0.138175
